S,M,NLL,j,σ,AIC,β
50,10,-129.79746741421746,1,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,1,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,1,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,1,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,1,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,1,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,1,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,1,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,1,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,1,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,1,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,1,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,1,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,1,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,1,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,1,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,2,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,2,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,2,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,2,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,2,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,2,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,2,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,2,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
